choose_y,"precision_stay, %","precision_drop, %","recall_stay, %","recall_drop, %","recall_general, %","accuracy, %",clf,wave,class proportions,ROC AUC,Cohen’s kappa
"pers+engin, age_gender",0.905,0.302,0.734,0.598,0.666,0.712,RBF_SVM,5,0.193,0.804,0.238
personal+engineered,0.91,0.251,0.695,0.597,0.646,0.681,SVM_def,3,0.171,0.785,0.186
all features,0.897,0.261,0.675,0.596,0.636,0.662,SVM_C,5,0.193,0.818,0.179
all features,0.909,0.214,0.654,0.59,0.622,0.645,RBF_SVM,4,0.16,0.871,0.14
all features,0.91,0.257,0.709,0.589,0.649,0.691,SVM_C,3,0.171,0.856,0.194
personal only,0.905,0.234,0.669,0.589,0.629,0.658,LR,3,0.171,0.751,0.158
all features,0.896,0.264,0.686,0.586,0.636,0.67,DT,5,0.193,0.737,0.182
personal only,0.905,0.239,0.683,0.583,0.633,0.668,SVM_def,3,0.171,0.752,0.166
personal only,0.904,0.232,0.67,0.583,0.626,0.657,RBF_SVM,3,0.171,0.784,0.155
personal only,0.91,0.225,0.681,0.579,0.63,0.667,SVM_def,4,0.16,0.751,0.157
"pers+engin, age_gender",0.804,0.239,0.487,0.575,0.531,0.506,DT,1,0.28,0.636,0.041
personal+engineered,0.907,0.256,0.717,0.569,0.643,0.696,RBF_SVM,3,0.171,0.819,0.19
personal+engineered,0.81,0.248,0.517,0.568,0.542,0.528,SVM_def,1,0.28,0.662,0.058
personal only,0.914,0.252,0.731,0.567,0.649,0.708,DT,4,0.16,0.691,0.195
"pers+engin, age_gender",0.892,0.193,0.602,0.567,0.584,0.597,DT,2,0.168,0.669,0.093
"pers+engin, age_gender",0.813,0.252,0.529,0.565,0.547,0.537,SVM_def,1,0.28,0.669,0.065
personal+engineered,0.916,0.269,0.754,0.564,0.659,0.728,RBF_SVM,4,0.16,0.8,0.218
personal+engineered,0.802,0.239,0.495,0.564,0.53,0.51,DT,1,0.28,0.636,0.04
personal+engineered,0.899,0.305,0.753,0.563,0.658,0.722,RBF_SVM,5,0.193,0.804,0.235
personal+engineered,0.809,0.247,0.519,0.562,0.541,0.529,LR,1,0.28,0.661,0.056
"pers+engin, age_gender",0.81,0.249,0.526,0.561,0.543,0.533,LR,1,0.28,0.668,0.06
all features,0.91,0.235,0.709,0.559,0.634,0.688,SVM_C,4,0.16,0.852,0.17
personal only,0.915,0.27,0.758,0.559,0.658,0.731,RBF_SVM,4,0.16,0.794,0.219
personal+engineered,0.892,0.194,0.612,0.558,0.585,0.604,DT,2,0.168,0.669,0.096
personal only,0.804,0.242,0.512,0.555,0.534,0.521,DT,1,0.28,0.63,0.046
personal only,0.898,0.306,0.757,0.555,0.656,0.724,RBF_SVM,5,0.193,0.792,0.235
personal only,0.802,0.24,0.508,0.553,0.53,0.518,SVM_def,1,0.28,0.648,0.041
personal only,0.803,0.24,0.51,0.553,0.531,0.519,LR,1,0.28,0.648,0.042
